bench-name,cpp-time,cpp-memo,mvs-time,mvs-memo,swift-time,swift-memo,scala-time,scala-memo
gen_0_7,926426.0,0.0,992384.0,0.0,1157775.0,0.0,2192382.5,0.0
gen_3_1,421677.0,0.0,1167616.0,0.0,1330752.0,0.0,4711840.5,0.0
gen_114_18,130019852.5,0.0,33945856.0,0.0,21191291.5,0.0,14640224.0,0.0
gen_105_7,116186795.5,0.0,38513664.0,0.0,8230153.5,0.0,6967806.5,0.0
gen_2_13,195549887.5,0.0,46023936.0,0.0,42718134.5,0.0,32995563.5,0.0
gen_0_45,4218402.5,0.0,1796224.0,0.0,417068.5,0.0,1571571.0,0.0
gen_101_5,1319212.5,0.0,2774784.0,0.0,3370007.5,0.0,6821250.5,0.0
gen_107_12,148459.0,0.0,276864.0,0.0,282427.5,0.0,788694.5,0.0
gen_3_18,35471820.5,0.0,30902528.0,0.0,24147393.0,0.0,23516852.0,0.0
gen_113_20,758937.0,0.0,454656.0,0.0,285474.0,0.0,2408486.5,0.0
gen_1115_14,3231208.5,0.0,3610112.0,0.0,4095624.0,0.0,5726490.5,0.0
gen_3_40,45873486.5,0.0,2776192.0,0.0,1656132.5,0.0,1950314.5,0.0
gen_102_29,8386977.0,0.0,4143232.0,0.0,3639952.5,0.0,6965326.0,0.0
gen_106_7,164882.5,0.0,412416.0,0.0,277643.5,0.0,3949159.5,0.0
gen_103_13,501907.5,0.0,1650944.0,0.0,1860183.5,0.0,4247833.5,0.0
gen_10_4,38694814.0,0.0,21899520.0,0.0,19428532.5,0.0,12137689.0,0.0
gen_0_20,24627109.5,0.0,7328000.0,0.0,2093809.5,0.0,1777701.0,0.0
gen_113_21,482697.0,0.0,929536.0,0.0,936747.5,0.0,3588876.0,0.0
gen_110_9,1584386.5,0.0,1925504.0,0.0,2103677.5,0.0,3746612.5,0.0
gen_102_23,55918268.5,0.0,36806016.0,0.0,30464190.0,0.0,32400654.5,0.0
gen_110_8,1669820.0,0.0,1839616.0,0.0,1801686.5,0.0,4447270.0,0.0
gen_4_13,872156.0,0.0,381440.0,0.0,1231.0,0.0,1176582.5,0.0
gen_8_3,45047414.0,0.0,44247680.0,0.0,32960193.5,0.0,31402627.5,0.0
gen_100_8,405215.5,0.0,872192.0,0.0,942718.0,0.0,2531632.5,0.0
